Object,Count,Key,Rank,Learning Objective,Name,Type,Status,Descriptiion,
Syllibus,186,S186,2,Fundamental Technique,Ki Bohn Soo 12,Technique,Untrained,Fundamental Technique,
Syllibus,187,S187,2,Fundamental Technique,Ki Bohn Soo 13,Technique,Untrained,Fundamental Technique,
Syllibus,188,S188,2,Fundamental Technique,Ki Bohn Soo 14,Technique,Untrained,Fundamental Technique,
Syllibus,189,S189,2,Fundamental Technique,Ki Bohn Soo 15,Technique,Untrained,Fundamental Technique,
Syllibus,190,S190,3,Defense Against Wrist Grab,Sohn Mohk Soo 1,Technique,Untrained,Fundamental Technique,
Syllibus,191,S191,3,Defense Against Wrist Grab,Sohn Mohk Soo 2,Technique,Untrained,Fundamental Technique,
Syllibus,192,S192,3,Defense Against Wrist Grab,Sohn Mohk Soo 3,Technique,Untrained,Fundamental Technique,
Syllibus,193,S193,3,Defense Against Wrist Grab,Sohn Mohk Soo 4,Technique,Untrained,Fundamental Technique,
Syllibus,194,S194,3,Defense Against Wrist Grab,Sohn Mohk Soo 5,Technique,Untrained,Fundamental Technique,
Syllibus,195,S195,3,Defense Against Wrist Grab,Sohn Mohk Soo 6,Technique,Untrained,Fundamental Technique,
Syllibus,196,S196,5,Defense Against Clothing Grab,Eue Bohk Soo 1,Technique,Untrained,Fundamental Technique,
Syllibus,197,S197,5,Defense Against Clothing Grab,Eue Bohk Soo 2,Technique,Untrained,Fundamental Technique,
Syllibus,198,S198,5,Defense Against Clothing Grab,Eue Bohk Soo 3,Technique,Untrained,Fundamental Technique,
Syllibus,199,S199,5,Defense Against Clothing Grab,Eue Bohk Soo 4,Technique,Untrained,Fundamental Technique,
Syllibus,200,S200,5,Defense Against Clothing Grab,Eue Bohk Soo 5,Technique,Untrained,Fundamental Technique,
Syllibus,201,S201,5,Defense Against Clothing Grab,Eue Bohk Soo 6,Technique,Untrained,Fundamental Technique,
Syllibus,202,S202,6,Defense Against Clothing Grab,Eue Bohk Soo 7,Technique,Untrained,Fundamental Technique,
Syllibus,203,S203,6,Defense Against Clothing Grab,Eue Bohk Soo 8,Technique,Untrained,Fundamental Technique,
Syllibus,204,S204,6,Defense Against Clothing Grab,Eue Bohk Soo 9,Technique,Untrained,Fundamental Technique,
